section_id,year,term,effectiveness_score_baseline,effectiveness_score_shifted,diff
F2023-28,2023,Fall,0.592,0.5,-0.092
F2023-25,2023,Fall,0.761,0.755,-0.006
F2023-24,2023,Fall,0.77,0.765,-0.005
F2023-23,2023,Fall,0.771,0.765,-0.005
F2023-22,2023,Fall,0.777,0.772,-0.005
F2023-21,2023,Fall,0.776,0.772,-0.005
F2023-20,2023,Fall,0.778,0.773,-0.005
F2023-largeclass,2023,Fall,0.774,0.769,-0.005
S2023-90,2023,Spring,0.775,0.771,-0.005
S2023-25,2023,Spring,0.77,0.618,-0.152
S2023-20,2023,Spring,0.769,0.763,-0.005
S2023-largeclass,2023,Spring,0.775,0.699,-0.076
F2022-21,2022,Fall,0.775,0.77,-0.005
F2022-20,2022,Fall,0.79,0.786,-0.004
F2022-largeclass,2022,Fall,0.777,0.773,-0.005
F2022-23,2022,Fall,0.781,0.776,-0.004
S2022-21,2022,Spring,0.781,0.776,-0.004
S2022-20,2022,Spring,0.779,0.775,-0.005
S2022-largeclass,2022,Spring,0.776,0.771,-0.005
F2021-H1,2021,Fall,0.783,0.779,-0.004
F2021-90,2021,Fall,0.784,0.78,-0.004
F2021-largeclass,2021,Fall,0.777,0.773,-0.005
F2021-5B,2021,Fall,0.779,0.775,-0.005
F2021-5A,2021,Fall,0.766,0.76,-0.006
S2021-ALL,2021,Spring,0.78,0.771,-0.009
F2020-ALL,2020,Fall,0.777,0.772,-0.005
S2020-21,2020,Spring,0.779,0.774,-0.005
S2020-20,2020,Spring,0.772,0.767,-0.005
S2020-largeclass,2020,Spring,0.774,0.769,-0.005
F2019-H1,2019,Fall,0.776,0.771,-0.005
F2019-21,2019,Fall,0.776,0.672,-0.104
F2019-20,2019,Fall,0.771,0.766,-0.005
F2019-largeclass,2019,Fall,0.771,0.766,-0.005
S2019-22,2019,Spring,0.781,0.776,-0.004
S2019-21,2019,Spring,0.771,0.709,-0.062
S2019-20,2019,Spring,0.778,0.724,-0.054
S2019-largeclass,2019,Spring,0.626,0.566,-0.06
F2018-largeclass,2018,Fall,0.767,0.762,-0.005
F2018-21,2018,Fall,0.769,0.699,-0.07
F2018-20,2018,Fall,0.785,0.781,-0.004
S2018-largeclass,2018,Spring,0.772,0.767,-0.005
S2018-21,2018,Spring,0.774,0.77,-0.005
S2018-22,2018,Spring,0.771,0.766,-0.005
