year,term,prompt_type,negative,neutral,positive
2018,Spring,best,7,65,126
2018,Spring,change,40,99,59
2018,Spring,growth,23,76,66
2018,Spring,other,15,48,45
2018,Fall,best,16,93,127
2018,Fall,change,44,104,66
2018,Fall,growth,20,88,90
2018,Fall,other,14,58,42
2019,Spring,best,19,97,129
2019,Spring,change,50,90,116
2019,Spring,growth,34,45,83
2019,Spring,other,29,48,52
2019,Fall,best,12,91,107
2019,Fall,change,29,111,66
2019,Fall,growth,13,49,76
2019,Fall,other,13,50,32
2020,Spring,best,6,49,88
2020,Spring,change,18,75,40
2020,Spring,growth,7,29,45
2020,Spring,other,11,36,19
2020,Fall,best,7,59,97
2020,Fall,change,37,71,63
2020,Fall,growth,11,31,74
2020,Fall,other,12,33,34
2021,Spring,best,10,54,101
2021,Spring,change,22,75,66
2021,Spring,growth,13,23,69
2021,Spring,other,11,32,32
2021,Fall,best,9,91,133
2021,Fall,change,30,115,83
2021,Fall,growth,17,36,91
2021,Fall,other,10,49,38
2022,Spring,best,7,60,82
2022,Spring,change,11,82,50
2022,Spring,growth,13,19,64
2022,Spring,other,9,31,22
2022,Fall,best,5,52,95
2022,Fall,change,23,87,39
2022,Fall,growth,11,27,75
2022,Fall,other,6,33,27
2023,Spring,best,2,47,47
2023,Spring,change,7,61,24
2023,Spring,growth,1,24,43
2023,Spring,other,8,30,13
2023,Fall,best,2,25,34
2023,Fall,change,5,38,17
2023,Fall,growth,2,20,34
2023,Fall,other,9,24,6
